source_row	gene_symbol	source_genetic_defect	disease	inheritance	mechanism	is_dominant	is_recessive	is_x_linked	omim	major_category	subcategory
207	IFNGR1	IFNGR1	IFN-g receptor 1 deficiency	AD		true	false	false	107470	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
208	IFNGR2	IFNGR2	IFN-g receptor 2 deficiency	AR		false	true	false	147569	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)
209	IGHM	IGHM	m heavy chain deficiency	AR		false	true	false	147020	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia
210	IGKC	IGKC	Kappa chain deficiency	AR		false	true	false	147200	Table 3 Predominantly Antibody Deficiencies	Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells
211	IGLL1	IGLL1	l5 deficiency	AR		false	true	false	146770	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia
212	IKBKB	IKBKB	IKBKB deficiency	AR		false	true	false	615592	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
213	IKBKB	IKBKB	EDA-ID due to IKBKB GOF mutation	AD	GOF	true	false	false	618204	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 7 Anhidrotic Ectodermodysplasia with Immunodeficiency (EDA-ID)
214	IKBKE	IKBKE	IKBKE deficiency	AD		true	false	false		Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)
215	IKBKG	IKBKG	EDA-ID due to NEMO /IKBKG deficiency (ectodermal dysplasia, immune deficiency)	XL		false	false	true	300248	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 7 Anhidrotic Ectodermodysplasia with Immunodeficiency (EDA-ID)
216	IKBKG	IKBKG	NEMO Exon 5 deletion	XL		false	false	true		Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions
217	IKZF1	IKZF1	Ikaros deficiency	AD	DN	true	false	false		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
218	IKZF1	IKZF1	IKAROS haplosufficiency	AD	haplosufficiency	true	false	false	603023	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype
219	IKZF1	IKZF1	Ikaros GOF	AD	GOF	true	false	false		Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects
220	IKZF2	IKZF2	IKZF2 deficiency	AD		true	false	false		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
221	IKZF2	IKZF2	IKZF2 deficiency	AR		false	true	false		Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency
222	IKZF2	IKZF2	IKZF2 DN	AD	DN	true	false	false	606234	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 1 Immunodeficiency with Congenital Thrombocytopenia
223	IKZF3	IKZF3	AIOLOS deficiency	AD	DN	true	false	false		Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features
